run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
run_1778423668,1,-0.071917,5.7533,0.9880,0.001,0.99,0.010777
run_1778423668,2,-0.077042,6.1633,0.9761,0.001,0.99,0.004961
run_1778423668,3,-0.084375,6.7500,0.9644,0.001,0.99,0.004726
run_1778423668,4,-0.077708,6.2167,0.9529,0.001,0.99,0.004493
run_1778423668,5,-0.073375,5.8700,0.9414,0.001,0.99,0.004449
run_1778423668,6,-0.071250,5.7000,0.9301,0.001,0.99,0.004536
run_1778423668,7,-0.071708,5.7367,0.9190,0.001,0.99,0.004210
run_1778423668,8,-0.079917,6.3933,0.9079,0.001,0.99,0.004150
run_1778423668,9,-0.070292,5.6233,0.8970,0.001,0.99,0.004102
run_1778423668,10,-0.084875,6.7900,0.8863,0.001,0.99,0.004027
run_1778423668,11,-0.065042,5.2033,0.8756,0.001,0.99,0.003005
run_1778423668,12,-0.075958,6.0767,0.8651,0.001,0.99,0.002571
run_1778423668,13,-0.088042,7.0433,0.8548,0.001,0.99,0.002337
run_1778423668,14,-0.073958,5.9167,0.8445,0.001,0.99,0.002214
run_1778423668,15,-0.067250,5.3800,0.8344,0.001,0.99,0.002137
run_1778423668,16,-0.075958,6.0767,0.8243,0.001,0.99,0.002051
run_1778423668,17,-0.088750,7.1000,0.8145,0.001,0.99,0.002007
run_1778423668,18,-0.078542,6.2833,0.8047,0.001,0.99,0.001941
run_1778423668,19,-0.076208,6.0967,0.7950,0.001,0.99,0.001941
run_1778423668,20,-0.078417,6.2733,0.7855,0.001,0.99,0.001851
run_1778423668,21,-0.072458,5.7967,0.7761,0.001,0.99,0.002519
run_1778423668,22,-0.077583,6.2067,0.7667,0.001,0.99,0.001947
run_1778423668,23,-0.085417,6.8333,0.7575,0.001,0.99,0.001645
run_1778423668,24,-0.082833,6.6267,0.7485,0.001,0.99,0.001537
run_1778423668,25,-0.103500,8.2800,0.7395,0.001,0.99,0.001494
run_1778423668,26,-0.081000,6.4800,0.7306,0.001,0.99,0.001454
run_1778423668,27,-0.066708,5.3367,0.7218,0.001,0.99,0.001423
run_1778423668,28,-0.062583,5.0067,0.7132,0.001,0.99,0.001387
run_1778423668,29,-0.086833,6.9467,0.7046,0.001,0.99,0.001389
run_1778423668,30,-0.073583,5.8867,0.6962,0.001,0.99,0.001394
run_1778423668,31,-0.077042,6.1633,0.6878,0.001,0.99,0.002285
run_1778423668,32,-0.078750,6.3000,0.6796,0.001,0.99,0.001639
run_1778423668,33,-0.073708,5.8967,0.6714,0.001,0.99,0.001392
run_1778423668,34,-0.069542,5.5633,0.6633,0.001,0.99,0.001355
run_1778423668,35,-0.076000,6.0800,0.6554,0.001,0.99,0.001214
run_1778423668,36,-0.066333,5.3067,0.6475,0.001,0.99,0.001212
run_1778423668,37,-0.081417,6.5133,0.6397,0.001,0.99,0.001184
run_1778423668,38,-0.071542,5.7233,0.6321,0.001,0.99,0.001174
run_1778423668,39,-0.076875,6.1500,0.6245,0.001,0.99,0.001120
run_1778423668,40,-0.083583,6.6867,0.6170,0.001,0.99,0.001130
run_1778423668,41,-0.075750,6.0600,0.6096,0.001,0.99,0.002304
run_1778423668,42,-0.080708,6.4567,0.6023,0.001,0.99,0.001715
run_1778423668,43,-0.070083,5.6067,0.5950,0.001,0.99,0.001544
run_1778423668,44,-0.080625,6.4500,0.5879,0.001,0.99,0.001390
run_1778423668,45,-0.074667,5.9733,0.5808,0.001,0.99,0.001364
run_1778423668,46,-0.075417,6.0333,0.5739,0.001,0.99,0.001301
run_1778423668,47,-0.074167,5.9333,0.5670,0.001,0.99,0.001233
run_1778423668,48,-0.073833,5.9067,0.5602,0.001,0.99,0.001241
run_1778423668,49,-0.064917,5.1933,0.5535,0.001,0.99,0.001258
run_1778423668,50,-0.072042,5.7633,0.5468,0.001,0.99,0.001251
run_1778423668,51,-0.086000,6.8800,0.5403,0.001,0.99,0.002364
run_1778423668,52,-0.073917,5.9133,0.5338,0.001,0.99,0.001790
run_1778423668,53,-0.087000,6.9600,0.5274,0.001,0.99,0.001752
run_1778423668,54,-0.074583,5.9667,0.5210,0.001,0.99,0.001642
run_1778423668,55,-0.076542,6.1233,0.5148,0.001,0.99,0.001504
run_1778423668,56,-0.070833,5.6667,0.5086,0.001,0.99,0.001447
run_1778423668,57,-0.086417,6.9133,0.5025,0.001,0.99,0.001411
run_1778423668,58,-0.074083,5.9267,0.4965,0.001,0.99,0.001421
run_1778423668,59,-0.074292,5.9433,0.4905,0.001,0.99,0.001377
run_1778423668,60,-0.064375,5.1500,0.4846,0.001,0.99,0.001386
run_1778423668,61,-0.069167,5.5333,0.4788,0.001,0.99,0.002335
run_1778423668,62,-0.079917,6.3933,0.4731,0.001,0.99,0.001916
run_1778423668,63,-0.071750,5.7400,0.4674,0.001,0.99,0.001781
run_1778423668,64,-0.071833,5.7467,0.4618,0.001,0.99,0.001764
run_1778423668,65,-0.073167,5.8533,0.4562,0.001,0.99,0.001654
run_1778423668,66,-0.070208,5.6167,0.4508,0.001,0.99,0.001613
run_1778423668,67,-0.082625,6.6100,0.4454,0.001,0.99,0.001599
run_1778423668,68,-0.072833,5.8267,0.4400,0.001,0.99,0.001615
run_1778423668,69,-0.070083,5.6067,0.4347,0.001,0.99,0.001612
run_1778423668,70,-0.071292,5.7033,0.4295,0.001,0.99,0.001579
run_1778423668,71,-0.078083,6.2467,0.4244,0.001,0.99,0.002442
run_1778423668,72,-0.086167,6.8933,0.4193,0.001,0.99,0.002120
run_1778423668,73,-0.082667,6.6133,0.4142,0.001,0.99,0.001934
run_1778423668,74,-0.078500,6.2800,0.4093,0.001,0.99,0.001976
run_1778423668,75,-0.080292,6.4233,0.4044,0.001,0.99,0.001830
run_1778423668,76,-0.089792,7.1833,0.3995,0.001,0.99,0.001908
run_1778423668,77,-0.082417,6.5933,0.3947,0.001,0.99,0.001922
run_1778423668,78,-0.071083,5.6867,0.3900,0.001,0.99,0.001913
run_1778423668,79,-0.076750,6.1400,0.3853,0.001,0.99,0.001823
run_1778423668,80,-0.073333,5.8667,0.3807,0.001,0.99,0.001811
run_1778423668,81,-0.072333,5.7867,0.3761,0.001,0.99,0.002651
run_1778423668,82,-0.064708,5.1767,0.3716,0.001,0.99,0.002404
run_1778423668,83,-0.074792,5.9833,0.3671,0.001,0.99,0.002116
run_1778423668,84,-0.074333,5.9467,0.3627,0.001,0.99,0.002120
run_1778423668,85,-0.075000,6.0000,0.3584,0.001,0.99,0.002067
run_1778423668,86,-0.074042,5.9233,0.3541,0.001,0.99,0.002068
run_1778423668,87,-0.071958,5.7567,0.3498,0.001,0.99,0.002050
run_1778423668,88,-0.080375,6.4300,0.3456,0.001,0.99,0.002015
run_1778423668,89,-0.071375,5.7100,0.3415,0.001,0.99,0.002074
run_1778423668,90,-0.061542,4.9233,0.3374,0.001,0.99,0.001977
run_1778423668,91,-0.082750,6.6200,0.3333,0.001,0.99,0.002629
run_1778423668,92,-0.079000,6.3200,0.3293,0.001,0.99,0.002433
run_1778423668,93,-0.077667,6.2133,0.3254,0.001,0.99,0.002290
run_1778423668,94,-0.072708,5.8167,0.3215,0.001,0.99,0.002428
run_1778423668,95,-0.080292,6.4233,0.3176,0.001,0.99,0.002323
run_1778423668,96,-0.077708,6.2167,0.3138,0.001,0.99,0.002260
run_1778423668,97,-0.079875,6.3900,0.3100,0.001,0.99,0.002326
run_1778423668,98,-0.076750,6.1400,0.3063,0.001,0.99,0.002522
run_1778423668,99,-0.062417,4.9933,0.3026,0.001,0.99,0.002457
run_1778423668,100,-0.078833,6.3067,0.2990,0.001,0.99,0.002438
run_1778423668,101,-0.067375,5.3900,0.2954,0.001,0.99,0.003136
run_1778423668,102,-0.069208,5.5367,0.2919,0.001,0.99,0.002574
run_1778423668,103,-0.078167,6.2533,0.2884,0.001,0.99,0.002653
run_1778423668,104,-0.068792,5.5033,0.2849,0.001,0.99,0.002704
run_1778423668,105,-0.074375,5.9500,0.2815,0.001,0.99,0.002869
run_1778423668,106,-0.086500,6.9200,0.2781,0.001,0.99,0.002846
run_1778423668,107,-0.078542,6.2833,0.2748,0.001,0.99,0.002644
run_1778423668,108,-0.067333,5.3867,0.2715,0.001,0.99,0.002553
run_1778423668,109,-0.085375,6.8300,0.2682,0.001,0.99,0.002677
run_1778423668,110,-0.076958,6.1567,0.2650,0.001,0.99,0.002667
run_1778423668,111,-0.081250,6.5000,0.2618,0.001,0.99,0.003147
run_1778423668,112,-0.083958,6.7167,0.2587,0.001,0.99,0.003058
run_1778423668,113,-0.078292,6.2633,0.2556,0.001,0.99,0.002916
run_1778423668,114,-0.074625,5.9700,0.2525,0.001,0.99,0.002892
run_1778423668,115,-0.075333,6.0267,0.2495,0.001,0.99,0.002802
run_1778423668,116,-0.063792,5.1033,0.2465,0.001,0.99,0.003059
run_1778423668,117,-0.079500,6.3600,0.2435,0.001,0.99,0.002798
run_1778423668,118,-0.075500,6.0400,0.2406,0.001,0.99,0.002785
run_1778423668,119,-0.073042,5.8433,0.2377,0.001,0.99,0.003026
run_1778423668,120,-0.075125,6.0100,0.2349,0.001,0.99,0.002849
run_1778423668,121,-0.086625,6.9300,0.2321,0.001,0.99,0.003659
run_1778423668,122,-0.074625,5.9700,0.2293,0.001,0.99,0.003213
run_1778423668,123,-0.078833,6.3067,0.2265,0.001,0.99,0.002970
run_1778423668,124,-0.067042,5.3633,0.2238,0.001,0.99,0.003098
run_1778423668,125,-0.077125,6.1700,0.2211,0.001,0.99,0.003100
run_1778423668,126,-0.057958,4.6367,0.2185,0.001,0.99,0.003004
run_1778423668,127,-0.079125,6.3300,0.2158,0.001,0.99,0.003048
run_1778423668,128,-0.070333,5.6267,0.2132,0.001,0.99,0.003521
run_1778423668,129,-0.074500,5.9600,0.2107,0.001,0.99,0.003054
run_1778423668,130,-0.075917,6.0733,0.2082,0.001,0.99,0.003229
run_1778423668,131,-0.076042,6.0833,0.2057,0.001,0.99,0.003887
run_1778423668,132,-0.073792,5.9033,0.2032,0.001,0.99,0.003643
run_1778423668,133,-0.071917,5.7533,0.2008,0.001,0.99,0.003165
run_1778423668,134,-0.068500,5.4800,0.1983,0.001,0.99,0.003552
run_1778423668,135,-0.068875,5.5100,0.1960,0.001,0.99,0.003634
run_1778423668,136,-0.073500,5.8800,0.1936,0.001,0.99,0.003409
run_1778423668,137,-0.071208,5.6967,0.1913,0.001,0.99,0.003593
run_1778423668,138,-0.065917,5.2733,0.1890,0.001,0.99,0.003418
run_1778423668,139,-0.071417,5.7133,0.1867,0.001,0.99,0.003876
run_1778423668,140,-0.075458,6.0367,0.1845,0.001,0.99,0.003540
run_1778423668,141,-0.058583,4.6867,0.1823,0.001,0.99,0.004094
run_1778423668,142,-0.071667,5.7333,0.1801,0.001,0.99,0.003763
run_1778423668,143,-0.079792,6.3833,0.1779,0.001,0.99,0.003577
run_1778423668,144,-0.076667,6.1333,0.1758,0.001,0.99,0.003439
run_1778423668,145,-0.063917,5.1133,0.1737,0.001,0.99,0.003861
run_1778423668,146,-0.063875,5.1100,0.1716,0.001,0.99,0.003395
run_1778423668,147,-0.075292,6.0233,0.1695,0.001,0.99,0.003350
run_1778423668,148,-0.066042,5.2833,0.1675,0.001,0.99,0.003698
run_1778423668,149,-0.073042,5.8433,0.1655,0.001,0.99,0.003765
run_1778423668,150,-0.066375,5.3100,0.1635,0.001,0.99,0.003642
run_1778423668,151,-0.076250,6.1000,0.1615,0.001,0.99,0.004738
run_1778423668,152,-0.077500,6.2000,0.1596,0.001,0.99,0.004017
run_1778423668,153,-0.076292,6.1033,0.1577,0.001,0.99,0.004294
run_1778423668,154,-0.071083,5.6867,0.1558,0.001,0.99,0.003985
run_1778423668,155,-0.080125,6.4100,0.1539,0.001,0.99,0.004383
run_1778423668,156,-0.067875,5.4300,0.1521,0.001,0.99,0.004109
run_1778423668,157,-0.070083,5.6067,0.1503,0.001,0.99,0.004100
run_1778423668,158,-0.077458,6.1967,0.1485,0.001,0.99,0.003846
run_1778423668,159,-0.073875,5.9100,0.1467,0.001,0.99,0.003987
run_1778423668,160,-0.070875,5.6700,0.1449,0.001,0.99,0.003821
run_1778423668,161,-0.069542,5.5633,0.1432,0.001,0.99,0.004618
run_1778423668,162,-0.063333,5.0667,0.1415,0.001,0.99,0.004379
run_1778423668,163,-0.070625,5.6500,0.1398,0.001,0.99,0.004348
run_1778423668,164,-0.073417,5.8733,0.1381,0.001,0.99,0.004663
run_1778423668,165,-0.068750,5.5000,0.1364,0.001,0.99,0.004168
run_1778423668,166,-0.070708,5.6567,0.1348,0.001,0.99,0.004616
run_1778423668,167,-0.098625,7.8900,0.1332,0.001,0.99,0.004141
run_1778423668,168,-0.065375,5.2300,0.1316,0.001,0.99,0.004516
run_1778423668,169,-0.081917,6.5533,0.1300,0.001,0.99,0.004565
run_1778423668,170,-0.078083,6.2467,0.1284,0.001,0.99,0.004786
run_1778423668,171,-0.071792,5.7433,0.1269,0.001,0.99,0.004607
run_1778423668,172,-0.084667,6.7733,0.1254,0.001,0.99,0.005091
run_1778423668,173,-0.060917,4.8733,0.1239,0.001,0.99,0.004990
run_1778423668,174,-0.069833,5.5867,0.1224,0.001,0.99,0.004635
run_1778423668,175,-0.069625,5.5700,0.1209,0.001,0.99,0.005073
