run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
run_1778424061,84,-0.121417,9.7133,0.3627,0.001,0.99,0.002637
run_1778424061,85,-0.075708,6.0567,0.3584,0.001,0.99,0.002617
run_1778424061,86,-0.089792,7.1833,0.3541,0.001,0.99,0.002528
run_1778424061,87,-0.104583,8.3667,0.3498,0.001,0.99,0.002341
run_1778424061,88,-0.117583,9.4067,0.3456,0.001,0.99,0.002296
run_1778424061,89,-0.127833,10.2267,0.3415,0.001,0.99,0.002041
run_1778424061,90,-0.088500,7.0800,0.3374,0.001,0.99,0.002306
run_1778424061,91,-0.125292,10.0233,0.3333,0.001,0.99,0.004612
run_1778424061,92,-0.095875,7.6700,0.3293,0.001,0.99,0.003885
run_1778424061,93,-0.086208,6.8967,0.3254,0.001,0.99,0.003294
run_1778424061,94,-0.094958,7.5967,0.3215,0.001,0.99,0.003197
run_1778424061,95,-0.092000,7.3600,0.3176,0.001,0.99,0.003047
run_1778424061,96,-0.093292,7.4633,0.3138,0.001,0.99,0.002902
run_1778424061,97,-0.095875,7.6700,0.3100,0.001,0.99,0.002770
run_1778424061,98,-0.128167,10.2533,0.3063,0.001,0.99,0.002640
run_1778424061,99,-0.087792,7.0233,0.3026,0.001,0.99,0.002462
run_1778424061,100,-0.106667,8.5333,0.2990,0.001,0.99,0.002534
run_1778424061,101,-0.076458,6.1167,0.2954,0.001,0.99,0.004784
run_1778424061,102,-0.135625,10.8500,0.2919,0.001,0.99,0.004155
run_1778424061,103,-0.083583,6.6867,0.2884,0.001,0.99,0.003755
run_1778424061,104,-0.162708,13.0167,0.2849,0.001,0.99,0.003514
run_1778424061,105,-0.183792,14.7033,0.2815,0.001,0.99,0.003151
run_1778424061,106,-0.091167,7.2933,0.2781,0.001,0.99,0.003185
run_1778424061,107,-0.091500,7.3200,0.2748,0.001,0.99,0.003343
run_1778424061,108,-0.095375,7.6300,0.2715,0.001,0.99,0.003020
run_1778424061,109,-0.091625,7.3300,0.2682,0.001,0.99,0.003026
run_1778424061,110,-0.202750,16.2200,0.2650,0.001,0.99,0.002895
run_1778424061,111,-0.074375,5.9500,0.2618,0.001,0.99,0.005223
run_1778424061,112,-0.079542,6.3633,0.2587,0.001,0.99,0.004449
run_1778424061,113,-0.091167,7.2933,0.2556,0.001,0.99,0.003882
run_1778424061,114,-0.073792,5.9033,0.2525,0.001,0.99,0.003939
run_1778424061,115,-0.083375,6.6700,0.2495,0.001,0.99,0.003470
run_1778424061,116,-0.081000,6.4800,0.2465,0.001,0.99,0.003535
run_1778424061,117,-0.086083,6.8867,0.2435,0.001,0.99,0.003017
run_1778424061,118,-0.091458,7.3167,0.2406,0.001,0.99,0.003258
run_1778424061,119,-0.080333,6.4267,0.2377,0.001,0.99,0.003275
run_1778424061,120,-0.087000,6.9600,0.2349,0.001,0.99,0.003159
run_1778424061,121,-0.087500,7.0000,0.2321,0.001,0.99,0.005262
run_1778424061,122,-0.072625,5.8100,0.2293,0.001,0.99,0.004325
run_1778424061,123,-0.095833,7.6667,0.2265,0.001,0.99,0.003889
run_1778424061,124,-0.090083,7.2067,0.2238,0.001,0.99,0.003420
run_1778424061,125,-0.088542,7.0833,0.2211,0.001,0.99,0.003707
run_1778424061,126,-0.079417,6.3533,0.2185,0.001,0.99,0.003236
run_1778424061,127,-0.076083,6.0867,0.2158,0.001,0.99,0.003594
run_1778424061,128,-0.089167,7.1333,0.2132,0.001,0.99,0.003213
run_1778424061,129,-0.090917,7.2733,0.2107,0.001,0.99,0.003438
run_1778424061,130,-0.073375,5.8700,0.2082,0.001,0.99,0.003509
run_1778424061,131,-0.073875,5.9100,0.2057,0.001,0.99,0.004806
run_1778424061,132,-0.077833,6.2267,0.2032,0.001,0.99,0.004461
run_1778424061,133,-0.072958,5.8367,0.2008,0.001,0.99,0.004185
run_1778424061,134,-0.073625,5.8900,0.1983,0.001,0.99,0.003993
run_1778424061,135,-0.081958,6.5567,0.1960,0.001,0.99,0.004101
run_1778424061,136,-0.065375,5.2300,0.1936,0.001,0.99,0.004032
run_1778424061,137,-0.086292,6.9033,0.1913,0.001,0.99,0.003803
run_1778424061,138,-0.080667,6.4533,0.1890,0.001,0.99,0.003515
run_1778424061,139,-0.078000,6.2400,0.1867,0.001,0.99,0.003757
run_1778424061,140,-0.072917,5.8333,0.1845,0.001,0.99,0.003285
run_1778424061,141,-0.069500,5.5600,0.1823,0.001,0.99,0.004568
run_1778424061,142,-0.077208,6.1767,0.1801,0.001,0.99,0.004230
run_1778424061,143,-0.077917,6.2333,0.1779,0.001,0.99,0.004162
