run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
run_1778466643,1,-0.079833,6.3867,0.9880,0.001,0.99,0.049643
run_1778466643,2,-0.079667,6.3733,0.9761,0.001,0.99,0.034833
run_1778466643,3,-0.082250,6.5800,0.9644,0.001,0.99,0.033707
run_1778466643,4,-0.080292,6.4233,0.9529,0.001,0.99,0.032219
run_1778466643,5,-0.087417,6.9933,0.9414,0.001,0.99,0.031798
run_1778466643,6,-0.077875,6.2300,0.9301,0.001,0.99,0.030759
run_1778466643,7,-0.078667,6.2933,0.9190,0.001,0.99,0.031086
run_1778466643,8,-0.081500,6.5200,0.9079,0.001,0.99,0.031628
run_1778466643,9,-0.076375,6.1100,0.8970,0.001,0.99,0.029933
run_1778466643,10,-0.084875,6.7900,0.8863,0.001,0.99,0.029330
run_1778466643,11,-0.077917,6.2333,0.8756,0.001,0.99,0.021890
run_1778466643,12,-0.082083,6.5667,0.8651,0.001,0.99,0.019742
run_1778466643,13,-0.072375,5.7900,0.8548,0.001,0.99,0.018289
run_1778466643,14,-0.076042,6.0833,0.8445,0.001,0.99,0.018418
run_1778466643,15,-0.081500,6.5200,0.8344,0.001,0.99,0.017108
run_1778466643,16,-0.081208,6.4967,0.8243,0.001,0.99,0.016585
run_1778466643,17,-0.084167,6.7333,0.8145,0.001,0.99,0.016732
run_1778466643,18,-0.083000,6.6400,0.8047,0.001,0.99,0.016308
run_1778466643,19,-0.073583,5.8867,0.7950,0.001,0.99,0.016068
run_1778466643,20,-0.079875,6.3900,0.7855,0.001,0.99,0.015962
run_1778466643,21,-0.076167,6.0933,0.7761,0.001,0.99,0.011421
run_1778466643,22,-0.073125,5.8500,0.7667,0.001,0.99,0.010563
run_1778466643,23,-0.080750,6.4600,0.7575,0.001,0.99,0.009979
run_1778466643,24,-0.067583,5.4067,0.7485,0.001,0.99,0.009841
run_1778466643,25,-0.071375,5.7100,0.7395,0.001,0.99,0.009634
run_1778466643,26,-0.067333,5.3867,0.7306,0.001,0.99,0.009697
run_1778466643,27,-0.072792,5.8233,0.7218,0.001,0.99,0.009750
