run_id,episode,avg_reward,avg_queue,epsilon,lr,gamma,loss
dqn_v1_baseline,76,-0.075917,6.0733,0.3995,0.001,0.99,0.002158
dqn_v1_baseline,77,-0.072708,5.8167,0.3947,0.001,0.99,0.002200
dqn_v1_baseline,78,-0.063083,5.0467,0.3900,0.001,0.99,0.002156
dqn_v1_baseline,79,-0.071542,5.7233,0.3853,0.001,0.99,0.002073
dqn_v1_baseline,80,-0.094167,7.5333,0.3807,0.001,0.99,0.002068
dqn_v1_baseline,81,-0.065458,5.2367,0.3761,0.001,0.99,0.003145
dqn_v1_baseline,82,-0.068458,5.4767,0.3716,0.001,0.99,0.002602
dqn_v1_baseline,83,-0.077958,6.2367,0.3671,0.001,0.99,0.002483
dqn_v1_baseline,84,-0.084083,6.7267,0.3627,0.001,0.99,0.002490
dqn_v1_baseline,85,-0.065667,5.2533,0.3584,0.001,0.99,0.002499
dqn_v1_baseline,86,-0.074542,5.9633,0.3541,0.001,0.99,0.002332
dqn_v1_baseline,87,-0.077917,6.2333,0.3498,0.001,0.99,0.002487
dqn_v1_baseline,88,-0.069417,5.5533,0.3456,0.001,0.99,0.002348
dqn_v1_baseline,89,-0.068708,5.4967,0.3415,0.001,0.99,0.002464
dqn_v1_baseline,90,-0.074250,5.9400,0.3374,0.001,0.99,0.002342
dqn_v1_baseline,91,-0.082958,6.6367,0.3333,0.001,0.99,0.003051
dqn_v1_baseline,92,-0.069500,5.5600,0.3293,0.001,0.99,0.003096
dqn_v1_baseline,93,-0.065625,5.2500,0.3254,0.001,0.99,0.002765
dqn_v1_baseline,94,-0.080125,6.4100,0.3215,0.001,0.99,0.002889
dqn_v1_baseline,95,-0.070417,5.6333,0.3176,0.001,0.99,0.002723
dqn_v1_baseline,96,-0.070292,5.6233,0.3138,0.001,0.99,0.002706
dqn_v1_baseline,97,-0.074708,5.9767,0.3100,0.001,0.99,0.002556
dqn_v1_baseline,98,-0.078167,6.2533,0.3063,0.001,0.99,0.002530
dqn_v1_baseline,99,-0.104333,8.3467,0.3026,0.001,0.99,0.002711
dqn_v1_baseline,100,-0.077000,6.1600,0.2990,0.001,0.99,0.002687
dqn_v1_baseline,101,-0.072208,5.7767,0.2954,0.001,0.99,0.003435
dqn_v1_baseline,102,-0.076167,6.0933,0.2919,0.001,0.99,0.003169
dqn_v1_baseline,103,-0.078250,6.2600,0.2884,0.001,0.99,0.002717
dqn_v1_baseline,104,-0.071500,5.7200,0.2849,0.001,0.99,0.002915
dqn_v1_baseline,105,-0.072833,5.8267,0.2815,0.001,0.99,0.003090
dqn_v1_baseline,106,-0.081083,6.4867,0.2781,0.001,0.99,0.003132
dqn_v1_baseline,107,-0.076833,6.1467,0.2748,0.001,0.99,0.002924
dqn_v1_baseline,108,-0.072750,5.8200,0.2715,0.001,0.99,0.002850
dqn_v1_baseline,109,-0.069750,5.5800,0.2682,0.001,0.99,0.002893
dqn_v1_baseline,110,-0.068125,5.4500,0.2650,0.001,0.99,0.002935
dqn_v1_baseline,111,-0.074750,5.9800,0.2618,0.001,0.99,0.003631
dqn_v1_baseline,112,-0.074583,5.9667,0.2587,0.001,0.99,0.003274
dqn_v1_baseline,113,-0.069667,5.5733,0.2556,0.001,0.99,0.003167
dqn_v1_baseline,114,-0.069958,5.5967,0.2525,0.001,0.99,0.003160
dqn_v1_baseline,115,-0.071083,5.6867,0.2495,0.001,0.99,0.003074
dqn_v1_baseline,116,-0.077667,6.2133,0.2465,0.001,0.99,0.003222
dqn_v1_baseline,117,-0.070875,5.6700,0.2435,0.001,0.99,0.003371
dqn_v1_baseline,118,-0.075042,6.0033,0.2406,0.001,0.99,0.003344
dqn_v1_baseline,119,-0.071167,5.6933,0.2377,0.001,0.99,0.002921
dqn_v1_baseline,120,-0.082375,6.5900,0.2349,0.001,0.99,0.003124
dqn_v1_baseline,121,-0.081792,6.5433,0.2321,0.001,0.99,0.004160
dqn_v1_baseline,122,-0.068042,5.4433,0.2293,0.001,0.99,0.003377
dqn_v1_baseline,123,-0.069125,5.5300,0.2265,0.001,0.99,0.003391
dqn_v1_baseline,124,-0.066083,5.2867,0.2238,0.001,0.99,0.003464
dqn_v1_baseline,125,-0.070167,5.6133,0.2211,0.001,0.99,0.003244
dqn_v1_baseline,126,-0.079417,6.3533,0.2185,0.001,0.99,0.003660
dqn_v1_baseline,127,-0.070208,5.6167,0.2158,0.001,0.99,0.003477
dqn_v1_baseline,128,-0.076125,6.0900,0.2132,0.001,0.99,0.003390
dqn_v1_baseline,129,-0.075542,6.0433,0.2107,0.001,0.99,0.003314
dqn_v1_baseline,130,-0.068500,5.4800,0.2082,0.001,0.99,0.003415
dqn_v1_baseline,131,-0.074250,5.9400,0.2057,0.001,0.99,0.004115
dqn_v1_baseline,132,-0.066458,5.3167,0.2032,0.001,0.99,0.003687
dqn_v1_baseline,133,-0.067750,5.4200,0.2008,0.001,0.99,0.003634
dqn_v1_baseline,134,-0.075750,6.0600,0.1983,0.001,0.99,0.003610
dqn_v1_baseline,135,-0.072792,5.8233,0.1960,0.001,0.99,0.003443
dqn_v1_baseline,136,-0.071292,5.7033,0.1936,0.001,0.99,0.003770
dqn_v1_baseline,137,-0.076542,6.1233,0.1913,0.001,0.99,0.003571
dqn_v1_baseline,138,-0.069958,5.5967,0.1890,0.001,0.99,0.003686
dqn_v1_baseline,139,-0.076292,6.1033,0.1867,0.001,0.99,0.003577
dqn_v1_baseline,140,-0.074708,5.9767,0.1845,0.001,0.99,0.003650
dqn_v1_baseline,141,-0.071208,5.6967,0.1823,0.001,0.99,0.004031
dqn_v1_baseline,142,-0.073500,5.8800,0.1801,0.001,0.99,0.003870
dqn_v1_baseline,143,-0.069625,5.5700,0.1779,0.001,0.99,0.003949
dqn_v1_baseline,144,-0.074458,5.9567,0.1758,0.001,0.99,0.003760
dqn_v1_baseline,145,-0.063417,5.0733,0.1737,0.001,0.99,0.003758
dqn_v1_baseline,146,-0.065458,5.2367,0.1716,0.001,0.99,0.003819
dqn_v1_baseline,147,-0.077167,6.1733,0.1695,0.001,0.99,0.003832
dqn_v1_baseline,148,-0.064917,5.1933,0.1675,0.001,0.99,0.004205
dqn_v1_baseline,149,-0.072958,5.8367,0.1655,0.001,0.99,0.003752
dqn_v1_baseline,150,-0.074958,5.9967,0.1635,0.001,0.99,0.003798
dqn_v1_baseline,151,-0.069667,5.5733,0.1615,0.001,0.99,0.004585
dqn_v1_baseline,152,-0.075458,6.0367,0.1596,0.001,0.99,0.004316
dqn_v1_baseline,153,-0.067042,5.3633,0.1577,0.001,0.99,0.004323
dqn_v1_baseline,154,-0.079750,6.3800,0.1558,0.001,0.99,0.004472
dqn_v1_baseline,155,-0.073125,5.8500,0.1539,0.001,0.99,0.004179
dqn_v1_baseline,156,-0.067833,5.4267,0.1521,0.001,0.99,0.004412
dqn_v1_baseline,157,-0.078167,6.2533,0.1503,0.001,0.99,0.003790
dqn_v1_baseline,158,-0.076542,6.1233,0.1485,0.001,0.99,0.004043
dqn_v1_baseline,159,-0.079750,6.3800,0.1467,0.001,0.99,0.003872
dqn_v1_baseline,160,-0.066917,5.3533,0.1449,0.001,0.99,0.004146
dqn_v1_baseline,161,-0.068917,5.5133,0.1432,0.001,0.99,0.004426
dqn_v1_baseline,162,-0.073583,5.8867,0.1415,0.001,0.99,0.004499
dqn_v1_baseline,163,-0.072250,5.7800,0.1398,0.001,0.99,0.004857
dqn_v1_baseline,164,-0.078125,6.2500,0.1381,0.001,0.99,0.003687
dqn_v1_baseline,165,-0.065833,5.2667,0.1364,0.001,0.99,0.004237
dqn_v1_baseline,166,-0.065667,5.2533,0.1348,0.001,0.99,0.004081
dqn_v1_baseline,167,-0.058583,4.6867,0.1332,0.001,0.99,0.004145
dqn_v1_baseline,168,-0.075292,6.0233,0.1316,0.001,0.99,0.004406
dqn_v1_baseline,169,-0.081333,6.5067,0.1300,0.001,0.99,0.004430
dqn_v1_baseline,170,-0.079250,6.3400,0.1284,0.001,0.99,0.004550
dqn_v1_baseline,171,-0.065958,5.2767,0.1269,0.001,0.99,0.005062
dqn_v1_baseline,172,-0.068417,5.4733,0.1254,0.001,0.99,0.004597
dqn_v1_baseline,173,-0.079583,6.3667,0.1239,0.001,0.99,0.004673
dqn_v1_baseline,174,-0.068708,5.4967,0.1224,0.001,0.99,0.004721
dqn_v1_baseline,175,-0.076250,6.1000,0.1209,0.001,0.99,0.004342
dqn_v1_baseline,176,-0.071625,5.7300,0.1195,0.001,0.99,0.005110
dqn_v1_baseline,177,-0.075292,6.0233,0.1180,0.001,0.99,0.005231
dqn_v1_baseline,178,-0.079417,6.3533,0.1166,0.001,0.99,0.004439
dqn_v1_baseline,179,-0.066542,5.3233,0.1152,0.001,0.99,0.004507
dqn_v1_baseline,180,-0.074083,5.9267,0.1138,0.001,0.99,0.004815
dqn_v1_baseline,181,-0.080083,6.4067,0.1125,0.001,0.99,0.005034
dqn_v1_baseline,182,-0.060125,4.8100,0.1111,0.001,0.99,0.005047
dqn_v1_baseline,183,-0.068958,5.5167,0.1098,0.001,0.99,0.005373
dqn_v1_baseline,184,-0.066417,5.3133,0.1085,0.001,0.99,0.005008
dqn_v1_baseline,185,-0.072000,5.7600,0.1072,0.001,0.99,0.004721
dqn_v1_baseline,186,-0.072000,5.7600,0.1059,0.001,0.99,0.005020
dqn_v1_baseline,187,-0.066792,5.3433,0.1046,0.001,0.99,0.004979
dqn_v1_baseline,188,-0.071750,5.7400,0.1033,0.001,0.99,0.005251
dqn_v1_baseline,189,-0.068250,5.4600,0.1021,0.001,0.99,0.005364
dqn_v1_baseline,190,-0.069500,5.5600,0.1009,0.001,0.99,0.004532
dqn_v1_baseline,191,-0.067333,5.3867,0.0997,0.001,0.99,0.006059
dqn_v1_baseline,192,-0.074000,5.9200,0.0985,0.001,0.99,0.005776
dqn_v1_baseline,193,-0.070500,5.6400,0.0973,0.001,0.99,0.005320
dqn_v1_baseline,194,-0.071083,5.6867,0.0961,0.001,0.99,0.005382
dqn_v1_baseline,195,-0.072833,5.8267,0.0950,0.001,0.99,0.005124
dqn_v1_baseline,196,-0.080958,6.4767,0.0938,0.001,0.99,0.005149
dqn_v1_baseline,197,-0.066458,5.3167,0.0927,0.001,0.99,0.004817
dqn_v1_baseline,198,-0.065417,5.2333,0.0916,0.001,0.99,0.005565
dqn_v1_baseline,199,-0.073500,5.8800,0.0905,0.001,0.99,0.005488
dqn_v1_baseline,200,-0.077167,6.1733,0.0894,0.001,0.99,0.005183
dqn_v1_baseline,201,-0.077167,6.1733,0.0883,0.001,0.99,0.006074
dqn_v1_baseline,202,-0.069417,5.5533,0.0873,0.001,0.99,0.005626
dqn_v1_baseline,203,-0.074792,5.9833,0.0862,0.001,0.99,0.005260
dqn_v1_baseline,204,-0.070708,5.6567,0.0852,0.001,0.99,0.005302
dqn_v1_baseline,205,-0.077875,6.2300,0.0842,0.001,0.99,0.005600
dqn_v1_baseline,206,-0.075917,6.0733,0.0832,0.001,0.99,0.005954
dqn_v1_baseline,207,-0.062542,5.0033,0.0822,0.001,0.99,0.006604
dqn_v1_baseline,208,-0.069667,5.5733,0.0812,0.001,0.99,0.006271
dqn_v1_baseline,209,-0.068250,5.4600,0.0802,0.001,0.99,0.005715
dqn_v1_baseline,210,-0.069750,5.5800,0.0792,0.001,0.99,0.005413
dqn_v1_baseline,211,-0.067792,5.4233,0.0783,0.001,0.99,0.006369
dqn_v1_baseline,212,-0.074333,5.9467,0.0774,0.001,0.99,0.006206
dqn_v1_baseline,213,-0.078083,6.2467,0.0764,0.001,0.99,0.006146
dqn_v1_baseline,214,-0.078208,6.2567,0.0755,0.001,0.99,0.006212
